"sec"	"mA"	"mV"
578.493    0.00101342529524118    -50.0608139038086
579.491    0.00101342529524118    -50.0608139038086
580.488    0.00109546724706888    -50.0232925415039
581.488    0.00101342529524118    -50.0608139038086
582.488    0.00101342529524118    -50.0608139038086
583.479    0.00101342529524118    -50.0608139038086
584.487    0.00101342529524118    -50.0232925415039
585.479    0.000932421826291829    -50.0232925415039
586.473    0.000932421826291829    -50.0608139038086
587.473    0.000932421826291829    -50.0608139038086
588.472    0.00109546724706888    -50.0608139038086
589.466    0.00101342529524118    -49.985767364502
590.464    0.00101342529524118    -50.0608139038086
591.459    0.00109546724706888    -50.0608139038086
592.455    0.000932421826291829    -49.985767364502
593.457    0.000932421826291829    -50.0608139038086
594.45    0.00101342529524118    -50.0608139038086
595.452    0.000932421826291829    -50.1358604431152
596.454    0.00109546724706888    -50.0608139038086
597.443    0.00101342529524118    -50.0608139038086
598.457    0.00117647065781057    -50.0608139038086
599.442    0.000932421826291829    -49.985767364502
600.434    0.000932421826291829    -50.0232925415039
600.933    0.00109546724706888    -50.0983352661133
601.437    0.0698964670300484    0.0750467032194138
602.43    0.0215405263006687    0.0750467032194138
603.427    0.0130216656252742    0.0750467032194138
604.425    0.00969533156603575    0.0750467032194138
605.426    0.00807214807718992    0.0750467032194138
606.424    0.00693706097081304    0.0750467032194138
607.416    0.00636899843811989    0.0750467032194138
608.419    0.00588193954899907    0.0750467032194138
609.411    0.0054758838377893    9.39575329539366E-7
610.41    0.00507086655125022    0.0375238209962845
611.41    0.00482681766152382    0.0750467032194138
612.404    0.00490782130509615    0.0375238209962845
613.405    0.0045838076621294    0.0750467032194138
614.404    0.0040967483073473    9.39575329539366E-7
615.396    0.00425875512883067    9.39575329539366E-7
616.395    0.00425875512883067    0.0750467032194138
617.395    0.0040967483073473    0.0375238209962845
618.392    0.00385373807512224    0.0750467032194138
619.385    0.00377273466438055    0.0750467032194138
620.392    0.00360968918539584    0.0750467032194138
621.38    0.00336667895317078    0.0750467032194138
622.379    0.00336667895317078    0.0375238209962845
623.379    0.00344768236391246    0.0750467032194138
624.377    0.00336667895317078    0.0375238209962845
625.373    0.00352868577465415    0.0750467032194138
626.373    0.00336667895317078    0.0750467032194138
627.364    0.00344768236391246    0.0375238209962845
